Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,LOG,Arena,Notes
Fri Mar 4 2022,8:00p,Utah Jazz,90,New Orleans Pelicans,124,Box Score,,16178,2:07,Smoothie King Center,
Fri Mar 4 2022,8:00p,Minnesota Timberwolves,138,Oklahoma City Thunder,101,Box Score,,15180,2:06,Paycom Center,
Fri Mar 4 2022,9:00p,Houston Rockets,101,Denver Nuggets,116,Box Score,,16254,2:13,Ball Arena,
Fri Mar 4 2022,10:00p,New York Knicks,114,Phoenix Suns,115,Box Score,,17071,2:29,Phoenix Suns Arena,
Sat Mar 5 2022,5:00p,Sacramento Kings,113,Dallas Mavericks,114,Box Score,,20060,2:22,American Airlines Center,
Sat Mar 5 2022,7:00p,San Antonio Spurs,117,Charlotte Hornets,123,Box Score,,18941,2:09,Spectrum Center,
Sat Mar 5 2022,8:00p,Orlando Magic,96,Memphis Grizzlies,124,Box Score,,17794,2:00,FedEx Forum,
Sat Mar 5 2022,8:00p,Philadelphia 76ers,82,Miami Heat,99,Box Score,,19704,2:09,FTX Arena,
Sat Mar 5 2022,8:00p,Portland Trail Blazers,121,Minnesota Timberwolves,135,Box Score,,17136,2:22,Target Center,
Sat Mar 5 2022,8:30p,Golden State Warriors,116,Los Angeles Lakers,124,Box Score,,18997,2:24,Crypto.com Arena,
Sun Mar 6 2022,1:00p,Brooklyn Nets,120,Boston Celtics,126,Box Score,,19156,2:23,TD Garden,
Sun Mar 6 2022,3:30p,Phoenix Suns,122,Milwaukee Bucks,132,Box Score,,17495,2:19,Fiserv Forum,
Sun Mar 6 2022,6:00p,Indiana Pacers,123,Washington Wizards,133,Box Score,,13937,2:14,Capital One Arena,
Sun Mar 6 2022,7:00p,Memphis Grizzlies,112,Houston Rockets,123,Box Score,,18055,2:22,Toyota Center,
Sun Mar 6 2022,7:00p,Utah Jazz,116,Oklahoma City Thunder,103,Box Score,,15079,2:06,Paycom Center,
Sun Mar 6 2022,7:30p,Toronto Raptors,96,Cleveland Cavaliers,104,Box Score,,19432,2:18,Rocket Mortgage Fieldhouse,
Sun Mar 6 2022,8:00p,New Orleans Pelicans,130,Denver Nuggets,138,Box Score,OT,14962,2:43,Ball Arena,
Sun Mar 6 2022,10:00p,New York Knicks,116,Los Angeles Clippers,93,Box Score,,17422,2:22,Crypto.com Arena,
Mon Mar 7 2022,7:00p,Atlanta Hawks,110,Detroit Pistons,113,Box Score,OT,14942,2:39,Little Caesars Arena,
Mon Mar 7 2022,7:00p,Chicago Bulls,106,Philadelphia 76ers,121,Box Score,,20381,2:24,Wells Fargo Center,
Mon Mar 7 2022,7:30p,Houston Rockets,106,Miami Heat,123,Box Score,,19600,2:12,FTX Arena,
Mon Mar 7 2022,8:00p,Portland Trail Blazers,81,Minnesota Timberwolves,124,Box Score,,16035,2:26,Target Center,
Mon Mar 7 2022,8:30p,Utah Jazz,103,Dallas Mavericks,111,Box Score,,20077,2:12,American Airlines Center,
Mon Mar 7 2022,8:30p,Los Angeles Lakers,110,San Antonio Spurs,117,Box Score,,18354,2:16,AT&T Center,
Mon Mar 7 2022,9:00p,Golden State Warriors,124,Denver Nuggets,131,Box Score,,19542,2:20,Ball Arena,
Mon Mar 7 2022,10:30p,New York Knicks,131,Sacramento Kings,115,Box Score,,14720,2:17,Golden 1 Center,
Tue Mar 8 2022,7:00p,Brooklyn Nets,132,Charlotte Hornets,121,Box Score,,17230,2:13,Spectrum Center,
Tue Mar 8 2022,7:00p,Cleveland Cavaliers,127,Indiana Pacers,124,Box Score,,14066,2:17,Gainbridge Fieldhouse,
Tue Mar 8 2022,7:00p,Phoenix Suns,102,Orlando Magic,99,Box Score,,14024,2:18,Amway Center,
Tue Mar 8 2022,7:30p,New Orleans Pelicans,111,Memphis Grizzlies,132,Box Score,,16433,2:17,FedEx Forum,
Tue Mar 8 2022,8:00p,Milwaukee Bucks,142,Oklahoma City Thunder,115,Box Score,,15743,2:08,Paycom Center,
Tue Mar 8 2022,10:00p,Los Angeles Clippers,97,Golden State Warriors,112,Box Score,,18064,2:14,Chase Center,
Wed Mar 9 2022,7:00p,Boston Celtics,115,Charlotte Hornets,101,Box Score,,18086,2:07,Spectrum Center,
Wed Mar 9 2022,7:00p,Chicago Bulls,114,Detroit Pistons,108,Box Score,,18022,2:10,Little Caesars Arena,
Wed Mar 9 2022,7:30p,Phoenix Suns,111,Miami Heat,90,Box Score,,19600,2:05,FTX Arena,
Wed Mar 9 2022,8:00p,Los Angeles Lakers,130,Houston Rockets,139,Box Score,OT,18055,2:32,Toyota Center,
Wed Mar 9 2022,8:00p,Atlanta Hawks,115,Milwaukee Bucks,124,Box Score,,17341,2:06,Fiserv Forum,
Wed Mar 9 2022,8:00p,Oklahoma City Thunder,102,Minnesota Timberwolves,132,Box Score,,16191,2:06,Target Center,
Wed Mar 9 2022,8:00p,Orlando Magic,108,New Orleans Pelicans,102,Box Score,,15633,2:12,Smoothie King Center,
Wed Mar 9 2022,8:30p,New York Knicks,107,Dallas Mavericks,77,Box Score,,20182,2:15,American Airlines Center,
Wed Mar 9 2022,8:30p,Toronto Raptors,119,San Antonio Spurs,104,Box Score,,15121,2:05,AT&T Center,
Wed Mar 9 2022,10:00p,Denver Nuggets,106,Sacramento Kings,100,Box Score,,14697,2:16,Golden 1 Center,
Wed Mar 9 2022,10:00p,Portland Trail Blazers,85,Utah Jazz,123,Box Score,,18306,2:13,Vivint Smart Home Arena,
Wed Mar 9 2022,10:30p,Washington Wizards,109,Los Angeles Clippers,115,Box Score,,15282,2:13,Crypto.com Arena,
Thu Mar 10 2022,7:30p,Brooklyn Nets,129,Philadelphia 76ers,100,Box Score,,21408,2:18,Wells Fargo Center,
Thu Mar 10 2022,10:00p,Golden State Warriors,113,Denver Nuggets,102,Box Score,,19520,2:26,Ball Arena,
Fri Mar 11 2022,7:00p,Minnesota Timberwolves,110,Orlando Magic,118,Box Score,,14557,2:07,Amway Center,
Fri Mar 11 2022,7:30p,Los Angeles Clippers,106,Atlanta Hawks,112,Box Score,,16862,2:10,State Farm Arena,
Fri Mar 11 2022,7:30p,Detroit Pistons,103,Boston Celtics,114,Box Score,,19156,2:15,TD Garden,
Fri Mar 11 2022,8:00p,Dallas Mavericks,113,Houston Rockets,100,Box Score,,15060,2:13,Toyota Center,
Fri Mar 11 2022,8:00p,New York Knicks,114,Memphis Grizzlies,118,Box Score,,17188,2:35,FedEx Forum,
Fri Mar 11 2022,8:00p,Cleveland Cavaliers,105,Miami Heat,117,Box Score,,19600,2:16,FTX Arena,
Fri Mar 11 2022,8:00p,Charlotte Hornets,142,New Orleans Pelicans,120,Box Score,,16838,2:09,Smoothie King Center,
Fri Mar 11 2022,8:30p,Utah Jazz,102,San Antonio Spurs,104,Box Score,,15753,2:30,AT&T Center,
Fri Mar 11 2022,9:00p,Toronto Raptors,117,Phoenix Suns,112,Box Score,,17071,2:14,Phoenix Suns Arena,
Fri Mar 11 2022,10:30p,Washington Wizards,109,Los Angeles Lakers,122,Box Score,,18997,2:15,Crypto.com Arena,
Sat Mar 12 2022,8:00p,Cleveland Cavaliers,91,Chicago Bulls,101,Box Score,,21727,2:08,United Center,
Sat Mar 12 2022,8:00p,Minnesota Timberwolves,113,Miami Heat,104,Box Score,,19600,2:18,FTX Arena,
Sat Mar 12 2022,8:00p,Indiana Pacers,119,San Antonio Spurs,108,Box Score,,14605,2:12,AT&T Center,
Sat Mar 12 2022,8:30p,Milwaukee Bucks,109,Golden State Warriors,122,Box Score,,18064,2:15,Chase Center,
Sat Mar 12 2022,9:00p,Toronto Raptors,127,Denver Nuggets,115,Box Score,,18659,2:08,Ball Arena,
Sat Mar 12 2022,9:00p,Sacramento Kings,125,Utah Jazz,134,Box Score,,18306,2:10,Vivint Smart Home Arena,
Sat Mar 12 2022,10:00p,Washington Wizards,118,Portland Trail Blazers,127,Box Score,,17524,2:08,Moda Center,
Sun Mar 13 2022,1:00p,New York Knicks,107,Brooklyn Nets,110,Box Score,,18057,2:27,Barclays Center,
Sun Mar 13 2022,3:00p,Los Angeles Clippers,106,Detroit Pistons,102,Box Score,,19313,2:11,Little Caesars Arena,
Sun Mar 13 2022,3:30p,Dallas Mavericks,95,Boston Celtics,92,Box Score,,19156,2:14,TD Garden,
Sun Mar 13 2022,6:00p,Philadelphia 76ers,116,Orlando Magic,114,Box Score,OT,14444,2:40,Amway Center,
Sun Mar 13 2022,7:00p,Indiana Pacers,128,Atlanta Hawks,131,Box Score,,17038,2:17,State Farm Arena,
Sun Mar 13 2022,7:00p,Houston Rockets,105,New Orleans Pelicans,130,Box Score,,15683,2:09,Smoothie King Center,
Sun Mar 13 2022,7:00p,Memphis Grizzlies,125,Oklahoma City Thunder,118,Box Score,,17482,2:19,Paycom Center,
Sun Mar 13 2022,9:00p,Los Angeles Lakers,111,Phoenix Suns,140,Box Score,,17071,2:14,Phoenix Suns Arena,
Mon Mar 14 2022,7:00p,Los Angeles Clippers,111,Cleveland Cavaliers,120,Box Score,OT,18742,2:30,Rocket Mortgage Fieldhouse,
Mon Mar 14 2022,7:30p,Portland Trail Blazers,113,Atlanta Hawks,122,Box Score,,16432,2:23,State Farm Arena,
Mon Mar 14 2022,7:30p,Denver Nuggets,114,Philadelphia 76ers,110,Box Score,,21444,2:20,Wells Fargo Center,
Mon Mar 14 2022,8:00p,Charlotte Hornets,134,Oklahoma City Thunder,116,Box Score,,15810,2:08,Paycom Center,
Mon Mar 14 2022,8:30p,Minnesota Timberwolves,149,San Antonio Spurs,139,Box Score,,14143,2:26,AT&T Center,
Mon Mar 14 2022,10:00p,Washington Wizards,112,Golden State Warriors,126,Box Score,,18064,2:10,Chase Center,
Mon Mar 14 2022,10:00p,Chicago Bulls,103,Sacramento Kings,112,Box Score,,15943,2:14,Golden 1 Center,
Mon Mar 14 2022,10:00p,Milwaukee Bucks,117,Utah Jazz,111,Box Score,,18306,2:34,Vivint Smart Home Arena,
Mon Mar 14 2022,10:30p,Toronto Raptors,114,Los Angeles Lakers,103,Box Score,,18228,2:15,Crypto.com Arena,
Tue Mar 15 2022,7:00p,Memphis Grizzlies,135,Indiana Pacers,102,Box Score,,15027,2:10,Gainbridge Fieldhouse,
Tue Mar 15 2022,7:00p,Brooklyn Nets,150,Orlando Magic,108,Box Score,,15282,2:14,Amway Center,
Tue Mar 15 2022,7:30p,Detroit Pistons,98,Miami Heat,105,Box Score,,19600,2:16,FTX Arena,
Tue Mar 15 2022,8:00p,Phoenix Suns,131,New Orleans Pelicans,115,Box Score,,16789,2:09,Smoothie King Center,
Wed Mar 16 2022,7:00p,Atlanta Hawks,106,Charlotte Hornets,116,Box Score,,16648,2:06,Spectrum Center,
Wed Mar 16 2022,7:00p,Philadelphia 76ers,118,Cleveland Cavaliers,114,Box Score,,19432,2:19,Rocket Mortgage Fieldhouse,
Wed Mar 16 2022,7:00p,Denver Nuggets,127,Washington Wizards,109,Box Score,,15326,2:12,Capital One Arena,
Wed Mar 16 2022,7:30p,Dallas Mavericks,113,Brooklyn Nets,111,Box Score,,17981,2:15,Barclays Center,
Wed Mar 16 2022,7:30p,Portland Trail Blazers,98,New York Knicks,128,Box Score,,18213,2:08,Madison Square Garden (IV),
Wed Mar 16 2022,8:00p,Phoenix Suns,129,Houston Rockets,112,Box Score,,18055,2:03,Toyota Center,
Wed Mar 16 2022,8:00p,Los Angeles Lakers,104,Minnesota Timberwolves,124,Box Score,,17136,2:21,Target Center,
Wed Mar 16 2022,8:30p,Oklahoma City Thunder,120,San Antonio Spurs,122,Box Score,,14994,2:12,AT&T Center,
Wed Mar 16 2022,9:00p,Chicago Bulls,110,Utah Jazz,125,Box Score,,18306,2:12,Vivint Smart Home Arena,
Wed Mar 16 2022,10:00p,Boston Celtics,110,Golden State Warriors,88,Box Score,,18064,2:14,Chase Center,
Wed Mar 16 2022,10:00p,Milwaukee Bucks,135,Sacramento Kings,126,Box Score,,15864,2:21,Golden 1 Center,
Wed Mar 16 2022,10:30p,Toronto Raptors,103,Los Angeles Clippers,100,Box Score,,19068,2:03,Crypto.com Arena,
Thu Mar 17 2022,7:00p,Detroit Pistons,134,Orlando Magic,120,Box Score,,14369,2:14,Amway Center,
Fri Mar 18 2022,7:00p,Dallas Mavericks,101,Philadelphia 76ers,111,Box Score,,21428,2:10,Wells Fargo Center,
Fri Mar 18 2022,7:30p,Memphis Grizzlies,105,Atlanta Hawks,120,Box Score,,18062,2:14,State Farm Arena,
Fri Mar 18 2022,7:30p,Portland Trail Blazers,123,Brooklyn Nets,128,Box Score,,17732,2:26,Barclays Center,
Fri Mar 18 2022,7:30p,Denver Nuggets,116,Cleveland Cavaliers,119,Box Score,OT,19432,2:34,Rocket Mortgage Fieldhouse,
Fri Mar 18 2022,7:30p,Washington Wizards,97,New York Knicks,100,Box Score,,19812,2:19,Madison Square Garden (IV),
Fri Mar 18 2022,7:30p,Los Angeles Lakers,128,Toronto Raptors,123,Box Score,OT,19800,2:26,Scotiabank Arena,
Fri Mar 18 2022,8:00p,Indiana Pacers,121,Houston Rockets,118,Box Score,,13748,2:15,Toyota Center,
Fri Mar 18 2022,8:00p,Oklahoma City Thunder,108,Miami Heat,120,Box Score,,19600,2:01,FTX Arena,
Fri Mar 18 2022,8:30p,New Orleans Pelicans,124,San Antonio Spurs,91,Box Score,,18354,2:03,AT&T Center,
Fri Mar 18 2022,9:00p,Los Angeles Clippers,92,Utah Jazz,121,Box Score,,18306,2:04,Vivint Smart Home Arena,
Fri Mar 18 2022,10:00p,Chicago Bulls,102,Phoenix Suns,129,Box Score,,17071,2:07,Phoenix Suns Arena,
Fri Mar 18 2022,10:00p,Boston Celtics,126,Sacramento Kings,97,Box Score,,15313,2:04,Golden 1 Center,
Sat Mar 19 2022,5:00p,Milwaukee Bucks,119,Minnesota Timberwolves,138,Box Score,,17136,2:17,Target Center,
Sat Mar 19 2022,7:00p,Dallas Mavericks,108,Charlotte Hornets,129,Box Score,,19279,2:10,Spectrum Center,
Sat Mar 19 2022,8:00p,Detroit Pistons,109,Cleveland Cavaliers,113,Box Score,,19432,2:10,Rocket Mortgage Fieldhouse,
Sat Mar 19 2022,8:00p,Los Angeles Lakers,119,Washington Wizards,127,Box Score,,20476,2:13,Capital One Arena,
Sun Mar 20 2022,3:30p,Memphis Grizzlies,122,Houston Rockets,98,Box Score,,18055,2:13,Toyota Center,
Sun Mar 20 2022,3:30p,Portland Trail Blazers,98,Indiana Pacers,129,Box Score,,16067,2:07,Gainbridge Fieldhouse,
Sun Mar 20 2022,6:00p,New Orleans Pelicans,117,Atlanta Hawks,112,Box Score,,17123,2:09,State Farm Arena,
Sun Mar 20 2022,6:00p,Oklahoma City Thunder,85,Orlando Magic,90,Box Score,,15012,2:09,Amway Center,
Sun Mar 20 2022,6:00p,Phoenix Suns,127,Sacramento Kings,124,Box Score,OT,17583,2:37,Golden 1 Center,
Sun Mar 20 2022,7:30p,Utah Jazz,108,New York Knicks,93,Box Score,,19812,2:12,Madison Square Garden (IV),
Sun Mar 20 2022,8:00p,Boston Celtics,124,Denver Nuggets,104,Box Score,,19602,2:04,Ball Arena,
Sun Mar 20 2022,8:30p,San Antonio Spurs,110,Golden State Warriors,108,Box Score,,18064,2:18,Chase Center,
Sun Mar 20 2022,8:30p,Toronto Raptors,93,Philadelphia 76ers,88,Box Score,,21180,2:22,Wells Fargo Center,
Mon Mar 21 2022,7:00p,New Orleans Pelicans,103,Charlotte Hornets,106,Box Score,,13351,2:10,Spectrum Center,
Mon Mar 21 2022,7:00p,Los Angeles Lakers,131,Cleveland Cavaliers,120,Box Score,,19432,2:07,Rocket Mortgage Fieldhouse,
Mon Mar 21 2022,7:00p,Portland Trail Blazers,119,Detroit Pistons,115,Box Score,,14923,2:33,Little Caesars Arena,
Mon Mar 21 2022,7:30p,Utah Jazz,106,Brooklyn Nets,114,Box Score,,17887,2:07,Barclays Center,
Mon Mar 21 2022,7:30p,Miami Heat,106,Philadelphia 76ers,113,Box Score,,21386,2:10,Wells Fargo Center,
Mon Mar 21 2022,8:00p,Toronto Raptors,99,Chicago Bulls,113,Box Score,,21778,2:04,United Center,
Mon Mar 21 2022,8:00p,Washington Wizards,97,Houston Rockets,115,Box Score,,13936,2:09,Toyota Center,
Mon Mar 21 2022,8:00p,Boston Celtics,132,Oklahoma City Thunder,123,Box Score,,15345,2:12,Paycom Center,
Mon Mar 21 2022,8:30p,Minnesota Timberwolves,108,Dallas Mavericks,110,Box Score,,20077,2:20,American Airlines Center,
Tue Mar 22 2022,7:00p,Golden State Warriors,90,Orlando Magic,94,Box Score,,17164,2:19,Amway Center,
Tue Mar 22 2022,7:30p,Atlanta Hawks,117,New York Knicks,111,Box Score,,19812,2:20,Madison Square Garden (IV),
Tue Mar 22 2022,8:00p,Chicago Bulls,98,Milwaukee Bucks,126,Box Score,,17983,2:00,Fiserv Forum,
Tue Mar 22 2022,10:00p,Los Angeles Clippers,115,Denver Nuggets,127,Box Score,,16089,2:17,Ball Arena,
Wed Mar 23 2022,7:00p,New York Knicks,121,Charlotte Hornets,106,Box Score,,16290,2:03,Spectrum Center,
Wed Mar 23 2022,7:00p,Atlanta Hawks,101,Detroit Pistons,122,Box Score,,16212,2:02,Little Caesars Arena,
Wed Mar 23 2022,7:00p,Sacramento Kings,110,Indiana Pacers,109,Box Score,,14227,2:07,Gainbridge Fieldhouse,
Wed Mar 23 2022,7:30p,Utah Jazz,97,Boston Celtics,125,Box Score,,19156,2:02,TD Garden,
Wed Mar 23 2022,7:30p,Brooklyn Nets,120,Memphis Grizzlies,132,Box Score,,17794,2:16,FedEx Forum,
Wed Mar 23 2022,7:30p,Golden State Warriors,118,Miami Heat,104,Box Score,,19600,2:19,FTX Arena,
Wed Mar 23 2022,8:00p,Phoenix Suns,125,Minnesota Timberwolves,116,Box Score,,17136,2:21,Target Center,
Wed Mar 23 2022,8:00p,Orlando Magic,102,Oklahoma City Thunder,118,Box Score,,14393,2:12,Paycom Center,
Wed Mar 23 2022,8:30p,Houston Rockets,91,Dallas Mavericks,110,Box Score,,20026,2:09,American Airlines Center,
Wed Mar 23 2022,10:00p,Philadelphia 76ers,126,Los Angeles Lakers,121,Box Score,,18997,2:20,Crypto.com Arena,
Wed Mar 23 2022,10:00p,San Antonio Spurs,133,Portland Trail Blazers,96,Box Score,,16610,2:06,Moda Center,
Thu Mar 24 2022,7:30p,Cleveland Cavaliers,104,Toronto Raptors,117,Box Score,,19800,2:07,Scotiabank Arena,
Thu Mar 24 2022,8:00p,Indiana Pacers,103,Memphis Grizzlies,133,Box Score,,16205,2:01,FedEx Forum,
Thu Mar 24 2022,8:00p,Washington Wizards,102,Milwaukee Bucks,114,Box Score,,18018,2:06,Fiserv Forum,
Thu Mar 24 2022,8:00p,Chicago Bulls,109,New Orleans Pelicans,126,Box Score,,13973,2:18,Smoothie King Center,
Thu Mar 24 2022,9:00p,Phoenix Suns,140,Denver Nuggets,130,Box Score,,19520,2:17,Ball Arena,
Fri Mar 25 2022,7:00p,Utah Jazz,101,Charlotte Hornets,107,Box Score,,19162,2:11,Spectrum Center,
Fri Mar 25 2022,7:00p,Washington Wizards,100,Detroit Pistons,97,Box Score,,18943,2:13,Little Caesars Arena,
Fri Mar 25 2022,7:30p,Golden State Warriors,110,Atlanta Hawks,121,Box Score,,17724,2:08,State Farm Arena,
Fri Mar 25 2022,8:00p,New York Knicks,111,Miami Heat,103,Box Score,,19600,2:20,FTX Arena,
Fri Mar 25 2022,8:00p,Dallas Mavericks,95,Minnesota Timberwolves,116,Box Score,,17136,2:12,Target Center,
Fri Mar 25 2022,10:00p,Houston Rockets,125,Portland Trail Blazers,106,Box Score,,16947,2:11,Moda Center,
Fri Mar 25 2022,10:30p,Philadelphia 76ers,122,Los Angeles Clippers,97,Box Score,,19068,2:14,Crypto.com Arena,
Sat Mar 26 2022,5:00p,San Antonio Spurs,107,New Orleans Pelicans,103,Box Score,,13097,2:11,Smoothie King Center,
Sat Mar 26 2022,7:00p,Sacramento Kings,114,Orlando Magic,110,Box Score,OT,16366,2:14,Amway Center,
Sat Mar 26 2022,7:30p,Indiana Pacers,91,Toronto Raptors,131,Box Score,,19800,2:56,Scotiabank Arena,
Sat Mar 26 2022,8:00p,Chicago Bulls,98,Cleveland Cavaliers,94,Box Score,,19432,2:34,Rocket Mortgage Fieldhouse,
Sat Mar 26 2022,8:00p,Milwaukee Bucks,102,Memphis Grizzlies,127,Box Score,,17794,2:19,FedEx Forum,
Sat Mar 26 2022,8:00p,Brooklyn Nets,110,Miami Heat,95,Box Score,,19600,2:16,FTX Arena,
Sat Mar 26 2022,9:00p,Oklahoma City Thunder,107,Denver Nuggets,113,Box Score,,19520,2:07,Ball Arena,
Sat Mar 26 2022,10:00p,Houston Rockets,115,Portland Trail Blazers,98,Box Score,,17821,2:10,Moda Center,
Sun Mar 27 2022,3:30p,New York Knicks,104,Detroit Pistons,102,Box Score,,19304,2:12,Little Caesars Arena,
Sun Mar 27 2022,6:00p,Minnesota Timberwolves,112,Boston Celtics,134,Box Score,,19156,2:04,TD Garden,
Sun Mar 27 2022,6:00p,Philadelphia 76ers,104,Phoenix Suns,114,Box Score,,17071,2:15,Phoenix Suns Arena,
Sun Mar 27 2022,6:00p,Golden State Warriors,115,Washington Wizards,123,Box Score,,20476,2:23,Capital One Arena,
Sun Mar 27 2022,7:00p,Los Angeles Lakers,108,New Orleans Pelicans,116,Box Score,,18516,2:10,Smoothie King Center,
Sun Mar 27 2022,7:30p,Charlotte Hornets,119,Brooklyn Nets,110,Box Score,,18166,2:15,Barclays Center,
Sun Mar 27 2022,7:30p,Utah Jazz,100,Dallas Mavericks,114,Box Score,,20177,2:05,American Airlines Center,
Mon Mar 28 2022,7:00p,Denver Nuggets,113,Charlotte Hornets,109,Box Score,,17614,2:22,Spectrum Center,
Mon Mar 28 2022,7:00p,Orlando Magic,101,Cleveland Cavaliers,107,Box Score,,19432,2:09,Rocket Mortgage Fieldhouse,
Mon Mar 28 2022,7:00p,Atlanta Hawks,132,Indiana Pacers,123,Box Score,,14212,2:16,Gainbridge Fieldhouse,
Mon Mar 28 2022,7:30p,Sacramento Kings,100,Miami Heat,123,Box Score,,19600,1:56,FTX Arena,
Mon Mar 28 2022,7:30p,Chicago Bulls,104,New York Knicks,109,Box Score,,19812,2:22,Madison Square Garden (IV),
Mon Mar 28 2022,7:30p,Boston Celtics,112,Toronto Raptors,115,Box Score,OT,19800,2:26,Scotiabank Arena,
Mon Mar 28 2022,8:00p,San Antonio Spurs,123,Houston Rockets,120,Box Score,,18055,2:13,Toyota Center,
Mon Mar 28 2022,8:00p,Golden State Warriors,95,Memphis Grizzlies,123,Box Score,,17011,2:18,FedEx Forum,
Mon Mar 28 2022,10:00p,Oklahoma City Thunder,134,Portland Trail Blazers,131,Box Score,OT,18188,2:26,Moda Center,
Tue Mar 29 2022,7:00p,Milwaukee Bucks,118,Philadelphia 76ers,116,Box Score,,21467,2:21,Wells Fargo Center,
Tue Mar 29 2022,7:00p,Chicago Bulls,107,Washington Wizards,94,Box Score,,15922,2:10,Capital One Arena,
Tue Mar 29 2022,7:30p,Detroit Pistons,123,Brooklyn Nets,130,Box Score,,17559,2:12,Barclays Center,
Tue Mar 29 2022,7:30p,Los Angeles Lakers,110,Dallas Mavericks,128,Box Score,,20382,2:06,American Airlines Center,
Tue Mar 29 2022,10:00p,Utah Jazz,115,Los Angeles Clippers,121,Box Score,,19068,2:32,Crypto.com Arena,
Wed Mar 30 2022,7:00p,Dallas Mavericks,120,Cleveland Cavaliers,112,Box Score,,19432,2:06,Rocket Mortgage Fieldhouse,
Wed Mar 30 2022,7:00p,Denver Nuggets,125,Indiana Pacers,118,Box Score,,15036,2:13,Gainbridge Fieldhouse,
Wed Mar 30 2022,7:00p,Orlando Magic,110,Washington Wizards,127,Box Score,,16455,2:07,Capital One Arena,
Wed Mar 30 2022,7:30p,Miami Heat,106,Boston Celtics,98,Box Score,,19156,2:22,TD Garden,
Wed Mar 30 2022,7:30p,Charlotte Hornets,125,New York Knicks,114,Box Score,,19812,2:16,Madison Square Garden (IV),
Wed Mar 30 2022,7:30p,Minnesota Timberwolves,102,Toronto Raptors,125,Box Score,,19800,2:08,Scotiabank Arena,
Wed Mar 30 2022,8:00p,Sacramento Kings,121,Houston Rockets,118,Box Score,,13365,2:28,Toyota Center,
